Subject,NFC,Ad_Trial,Ad_Real_No,Gender,Age,Education,Nationality_Participant,MarketingExperience,RT,Appreciation,Effectiveness,Humour,Complexity1,Complexity2,Advert_Nationality
3,0.333333333,8,8,Female,18-24,A-Level ,British,Yes,2286,2,2,1,Complex,Metonymic chain,Chinese
3,0.333333333,9,11,Female,18-24,A-Level ,British,Yes,3746,4,3,2,Complex,Metaphoric complex,Chinese
3,0.333333333,10,13,Female,18-24,A-Level ,British,Yes,7005,2,2,1,Complex,Metaphoric complex,Chinese
3,0.333333333,11,16,Female,18-24,A-Level ,British,Yes,2371,2,1,1,Simple,Metonymy,Spanish
3,0.333333333,12,20,Female,18-24,A-Level ,British,Yes,8904,1,1,1,Complex,Metaphtonymy,Spanish
3,0.333333333,13,21,Female,18-24,A-Level ,British,Yes,3676,4,2,3,Simple,Metaphor,Spanish
3,0.333333333,14,22,Female,18-24,A-Level ,British,Yes,3730,3,2,1,Complex,Metaphtonymy,Spanish
3,0.333333333,15,23,Female,18-24,A-Level ,British,Yes,8446,2,1,1,Complex,Metaphtonymy,Spanish
3,0.333333333,16,24,Female,18-24,A-Level ,British,Yes,4157,2,1,1,Complex,Metaphtonymy,Spanish
3,0.333333333,17,25,Female,18-24,A-Level ,British,Yes,3697,3,3,1,Simple,Metaphor,Spanish
3,0.333333333,18,26,Female,18-24,A-Level ,British,Yes,1713,3,3,2,Complex,Metonymic chain,Spanish
3,0.333333333,19,27,Female,18-24,A-Level ,British,Yes,10818,1,1,1,Simple,Metonymy,Spanish
3,0.333333333,20,28,Female,18-24,A-Level ,British,Yes,2861,1,1,1,Simple,Metaphor,Spanish
3,0.333333333,21,29,Female,18-24,A-Level ,British,Yes,5378,4,3,2,Simple,Metonymy,British
3,0.333333333,22,30,Female,18-24,A-Level ,British,Yes,3750,4,2,1,Simple,Metaphor,British
3,0.333333333,23,33,Female,18-24,A-Level ,British,Yes,1576,3,2,2,Complex,Metaphtonymy,British
3,0.333333333,24,36,Female,18-24,A-Level ,British,Yes,3452,3,2,2,Complex,Metaphtonymy,British
3,0.333333333,25,37,Female,18-24,A-Level ,British,Yes,1849,2,2,1,Complex,Metaphtonymy,British
3,0.333333333,26,38,Female,18-24,A-Level ,British,Yes,2263,2,2,5,Simple,Metaphor,British
3,0.333333333,27,39,Female,18-24,A-Level ,British,Yes,1825,4,2,2,Simple,Metonymy,British
3,0.333333333,28,40,Female,18-24,A-Level ,British,Yes,10875,1,3,1,Simple,Metaphor,British
3,0.333333333,29,41,Female,18-24,A-Level ,British,Yes,2848,3,4,2,Complex,Metaphtonymy,British
3,0.333333333,30,42,Female,18-24,A-Level ,British,Yes,4366,3,2,1,Complex,Metaphtonymy,British
4,0.333333333,1,1,Female,18-24,A-Level ,British,Yes,2929,2,4,1,Complex,Metaphtonymy,Chinese
4,0.666666667,2,2,Female,18-24,A-Level ,British,Yes,2327,4,4,1,Complex,Metaphtonymy,Chinese
4,0.666666667,3,3,Female,18-24,A-Level ,British,Yes,8001,4,4,3,Complex,Metaphtonymy,Chinese
4,0.666666667,4,4,Female,18-24,A-Level ,British,Yes,6069,3,4,1,Complex,Metaphtonymy,Chinese
4,0.666666667,5,5,Female,18-24,A-Level ,British,Yes,4307,4,4,1,Complex,Metaphtonymy,Chinese
4,0.666666667,6,6,Female,18-24,A-Level ,British,Yes,12159,3,2,1,Simple,Metaphor,Chinese
4,0.666666667,7,7,Female,18-24,A-Level ,British,Yes,1656,4,5,3,Simple,Metonymy,Chinese
4,0.666666667,8,8,Female,18-24,A-Level ,British,Yes,3424,2,3,1,Complex,Metonymic chain,Chinese
4,0.666666667,9,11,Female,18-24,A-Level ,British,Yes,10987,4,4,1,Complex,Metaphoric complex,Chinese
4,0.666666667,10,13,Female,18-24,A-Level ,British,Yes,5881,3,4,1,Complex,Metaphoric complex,Chinese
4,0.666666667,11,16,Female,18-24,A-Level ,British,Yes,5520,4,4,1,Simple,Metonymy,Spanish
4,0.666666667,12,20,Female,18-24,A-Level ,British,Yes,5686,3,3,1,Complex,Metaphtonymy,Spanish
4,0.666666667,13,21,Female,18-24,A-Level ,British,Yes,3288,3,2,2,Simple,Metaphor,Spanish
4,0.666666667,14,22,Female,18-24,A-Level ,British,Yes,5449,3,3,1,Complex,Metaphtonymy,Spanish
4,0.666666667,15,23,Female,18-24,A-Level ,British,Yes,2868,4,4,2,Complex,Metaphtonymy,Spanish
4,0.666666667,16,24,Female,18-24,A-Level ,British,Yes,16467,3,3,1,Complex,Metaphtonymy,Spanish
4,0.666666667,17,25,Female,18-24,A-Level ,British,Yes,2921,4,4,2,Simple,Metaphor,Spanish
4,0.666666667,18,26,Female,18-24,A-Level ,British,Yes,2603,4,5,1,Complex,Metonymic chain,Spanish
4,0.666666667,19,27,Female,18-24,A-Level ,British,Yes,7975,4,5,2,Simple,Metonymy,Spanish
4,0.666666667,20,28,Female,18-24,A-Level ,British,Yes,5387,4,4,1,Simple,Metaphor,Spanish
4,0.666666667,21,29,Female,18-24,A-Level ,British,Yes,3321,4,4,2,Simple,Metonymy,British
4,0.666666667,22,30,Female,18-24,A-Level ,British,Yes,2735,5,4,5,Simple,Metaphor,British
4,0.666666667,23,33,Female,18-24,A-Level ,British,Yes,2137,5,5,2,Complex,Metaphtonymy,British
4,0.666666667,24,36,Female,18-24,A-Level ,British,Yes,2389,4,4,2,Complex,Metaphtonymy,British
4,0.666666667,25,37,Female,18-24,A-Level ,British,Yes,4661,4,4,1,Complex,Metaphtonymy,British
4,0.666666667,26,38,Female,18-24,A-Level ,British,Yes,4087,4,4,2,Simple,Metaphor,British
4,0.666666667,27,39,Female,18-24,A-Level ,British,Yes,3783,2,2,1,Simple,Metonymy,British
